t,has_bbox,bbox_x,bbox_y,bbox_w,bbox_h,area_ratio,error_x,error_y,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
0.006,1,485,15,202,703,0.1541,0.0234,-0.0924,-75.41,-87.95,83.8,15.98,-53.63,4.82
0.079,1,485,15,202,703,0.1541,0.0234,-0.0924,-75.41,-87.95,83.8,15.98,-53.63,4.82
0.175,1,483,21,203,697,0.1535,0.0223,-0.0882,-75.41,-87.95,83.8,15.98,-53.63,4.82
0.27,1,483,21,203,697,0.1535,0.0223,-0.0882,-75.41,-87.95,83.8,15.98,-53.63,4.82
0.363,1,483,27,204,691,0.153,0.0227,-0.084,-75.41,-87.95,83.8,15.98,-53.63,4.82
0.457,1,484,32,201,683,0.149,0.0223,-0.0826,-75.41,-87.95,83.8,15.98,-53.63,4.82
0.55,1,484,32,201,683,0.149,0.0223,-0.0826,-75.41,-87.95,83.8,15.98,-53.63,4.82
0.644,1,486,35,200,679,0.1474,0.0234,-0.0813,-75.41,-87.95,83.8,15.98,-53.63,4.82
0.736,1,484,35,201,681,0.1485,0.0223,-0.0799,-75.41,-87.95,83.8,15.98,-53.63,4.82
0.829,1,484,35,201,681,0.1485,0.0223,-0.0799,-75.41,-87.95,83.8,15.98,-53.63,4.82
0.923,1,484,38,201,677,0.1477,0.0223,-0.0785,-75.41,-87.95,83.8,15.98,-53.63,4.82
1.017,1,486,38,200,677,0.1469,0.0234,-0.0785,-75.41,-87.95,83.8,15.98,-53.63,4.82
1.111,1,486,38,200,677,0.1469,0.0234,-0.0785,-75.41,-87.95,83.8,15.98,-53.63,4.82
1.203,1,485,38,200,671,0.1456,0.0227,-0.0826,-75.41,-87.95,83.8,15.98,-53.68,4.82
1.297,1,483,38,201,673,0.1468,0.0215,-0.0813,-75.41,-87.95,83.8,15.98,-53.68,4.82
1.406,1,483,39,201,670,0.1461,0.0215,-0.0819,-75.41,-87.95,83.8,15.98,-53.68,4.82
1.5,1,483,39,201,670,0.1461,0.0215,-0.0819,-75.41,-87.95,83.71,15.98,-53.47,4.82
1.589,1,482,39,202,670,0.1469,0.0211,-0.0819,-75.41,-87.95,83.71,15.98,-53.68,4.82
1.681,1,483,37,200,664,0.1441,0.0211,-0.0889,-75.56,-87.95,83.8,15.98,-53.68,4.82
1.776,1,483,37,200,664,0.1441,0.0211,-0.0889,-75.48,-87.95,84.16,15.98,-53.73,4.82
1.87,1,483,39,200,661,0.1434,0.0211,-0.0882,-75.48,-87.95,84.78,15.73,-53.68,5.01
1.965,1,485,40,201,587,0.128,0.023,-0.1382,-75.41,-87.95,84.87,15.06,-53.68,7.03
2.058,1,490,35,200,583,0.1265,0.0266,-0.1479,-75.33,-88.37,84.78,14.98,-53.68,14.13
2.149,1,490,35,200,583,0.1265,0.0266,-0.1479,-75.41,-88.12,84.87,15.06,-53.68,27.06
2.242,1,490,36,199,595,0.1285,0.0262,-0.1382,-75.64,-88.12,85.05,15.56,-53.73,43.35
2.336,1,473,49,205,634,0.141,0.0152,-0.0931,-75.72,-88.2,85.05,15.39,-53.78,61.28
2.428,1,473,49,205,634,0.141,0.0152,-0.0931,-75.8,-88.12,85.05,15.39,-53.78,77.44
2.52,1,471,57,208,647,0.146,0.0148,-0.0729,-75.87,-88.2,84.96,15.14,-53.78,87.9
2.615,1,475,44,214,668,0.1551,0.0203,-0.0764,-76.11,-88.2,84.96,15.14,-53.78,90.11
2.708,1,475,44,214,668,0.1551,0.0203,-0.0764,-76.11,-88.2,84.96,15.14,-53.78,90.11
2.802,1,490,38,208,677,0.1528,0.0297,-0.0785,-76.11,-88.12,84.96,15.14,-53.78,90.11
2.892,1,506,50,206,667,0.1491,0.0414,-0.0688,-76.34,-88.03,84.96,15.14,-53.78,90.11
2.987,1,506,50,206,667,0.1491,0.0414,-0.0688,-77.81,-88.12,84.96,15.14,-53.78,90.11
3.078,1,516,56,203,662,0.1458,0.048,-0.0639,-78.9,-88.12,84.96,15.06,-53.78,90.11
3.173,1,522,54,203,663,0.146,0.0527,-0.066,-79.13,-87.45,84.16,15.06,-53.78,90.11
3.266,1,522,54,203,663,0.146,0.0527,-0.066,-79.21,-82.38,81.49,14.81,-53.78,90.11
3.327,1,534,50,212,668,0.1537,0.0656,-0.0681,-79.13,-74.41,74.63,14.81,-53.78,90.11
3.42,1,565,48,205,670,0.149,0.0871,-0.0694,-79.21,-56.63,56.12,14.81,-53.78,90.11
3.514,1,565,48,205,670,0.149,0.0871,-0.0694,-79.29,-35.02,33.24,14.89,-53.73,90.11
3.606,1,577,47,202,671,0.1471,0.0953,-0.0701,-79.36,-15.0,11.79,14.89,-53.73,90.11
3.7,1,567,34,201,684,0.1492,0.0871,-0.0792,-79.52,1.87,-5.74,14.89,-53.73,90.11
3.795,1,567,34,201,684,0.1492,0.0871,-0.0792,-79.52,16.66,-20.87,14.89,-53.73,90.11
3.888,1,567,34,201,684,0.1492,0.0871,-0.0792,-80.37,28.46,-33.33,14.89,-53.73,90.11
3.979,1,567,34,201,684,0.1492,0.0871,-0.0792,-80.84,37.68,-44.01,14.89,-53.73,90.11
4.065,1,567,34,201,684,0.1492,0.0871,-0.0792,-81.3,44.33,-51.4,14.89,-53.73,90.11
4.165,1,567,34,201,684,0.1492,0.0871,-0.0792,-81.46,49.65,-56.74,14.89,-53.73,90.11
4.258,1,567,34,201,684,0.1492,0.0871,-0.0792,-81.61,52.64,-59.06,14.89,-53.73,90.11
4.351,1,567,34,201,684,0.1492,0.0871,-0.0792,-81.61,54.38,-59.86,14.89,-53.73,90.11
4.446,1,567,34,201,684,0.1492,0.0871,-0.0792,-81.61,56.88,-60.04,14.89,-53.73,90.11
4.538,1,567,34,201,684,0.1492,0.0871,-0.0792,-81.61,59.53,-62.44,14.81,-53.73,90.11
4.631,1,567,34,201,684,0.1492,0.0871,-0.0792,-81.61,62.61,-66.8,14.81,-53.73,90.11
4.725,1,567,34,201,684,0.1492,0.0871,-0.0792,-81.61,65.6,-69.92,14.73,-53.73,90.11
4.818,1,567,34,201,684,0.1492,0.0871,-0.0792,-81.46,67.35,-70.81,13.39,-53.73,90.11
4.912,1,567,34,201,684,0.1492,0.0871,-0.0792,-81.15,67.68,-70.89,9.8,-53.73,90.11
5.006,1,567,34,201,684,0.1492,0.0871,-0.0792,-80.76,67.84,-70.81,6.47,-53.73,90.11
5.099,1,567,34,201,684,0.1492,0.0871,-0.0792,-80.68,68.18,-70.63,4.88,-53.73,90.11
5.192,1,567,34,201,684,0.1492,0.0871,-0.0792,-80.84,69.42,-70.72,5.05,-53.73,90.11
5.286,1,567,34,201,684,0.1492,0.0871,-0.0792,-80.84,70.5,-70.72,5.38,-53.73,90.11
5.379,1,567,34,201,684,0.1492,0.0871,-0.0792,-80.84,70.42,-70.81,5.47,-53.73,90.11
5.471,1,567,34,201,684,0.1492,0.0871,-0.0792,-80.92,70.17,-70.81,5.47,-53.73,90.11
5.564,1,567,34,201,684,0.1492,0.0871,-0.0792,-80.92,70.09,-70.89,5.47,-53.73,90.11
5.61,1,567,34,201,684,0.1492,0.0871,-0.0792,-80.92,70.09,-70.89,5.47,-53.73,90.11
5.704,0,0,0,0,0,0.0,0.0,0.0,-80.92,70.0,-70.89,5.47,-53.73,90.11
5.751,0,0,0,0,0,0.0,0.0,0.0,-80.92,70.0,-70.89,5.47,-53.73,90.11
5.798,0,0,0,0,0,0.0,0.0,0.0,-80.99,69.92,-70.89,5.47,-53.73,90.11
5.845,0,0,0,0,0,0.0,0.0,0.0,-80.99,69.92,-70.89,5.47,-53.73,90.11
5.892,0,0,0,0,0,0.0,0.0,0.0,-80.99,69.84,-70.89,5.47,-53.73,90.11
5.937,0,0,0,0,0,0.0,0.0,0.0,-80.99,69.84,-70.89,5.47,-53.73,90.11
5.985,1,480,0,798,720,0.6234,0.2523,-0.1014,-80.99,69.84,-70.89,5.47,-53.73,90.11
6.079,1,480,0,798,720,0.6234,0.2523,-0.1014,-80.99,69.75,-70.89,5.47,-53.68,90.05
6.173,1,474,0,803,720,0.6273,0.2496,-0.1014,-80.99,69.75,-70.89,5.47,-53.37,90.05
6.22,1,474,0,803,720,0.6273,0.2496,-0.1014,-80.92,69.75,-70.89,5.47,-53.37,90.05
